,deathSubIA,confirmedSubIA,rate,Day1,CurrentEstimate,date
1,0,0,0,NA,NA,2020-01-23
2,0,0,0,NA,NA,2020-01-24
3,0,0,0,NA,NA,2020-01-25
4,0,0,0,NA,NA,2020-01-26
5,0,0,0,NA,NA,2020-01-27
6,0,0,0,NA,NA,2020-01-28
7,0,0,0,NA,NA,2020-01-29
8,0,0,0,NA,NA,2020-01-30
9,0,0,0,NA,NA,2020-01-31
10,0,0,0,NA,NA,2020-02-01
11,0,0,0,NA,NA,2020-02-02
12,0,0,0,NA,NA,2020-02-03
13,0,0,0,NA,NA,2020-02-04
14,0,0,0,NA,NA,2020-02-05
15,0,0,0,NA,NA,2020-02-06
16,0,0,0,NA,NA,2020-02-07
17,0,0,0,NA,NA,2020-02-08
18,0,0,0,NA,NA,2020-02-09
19,0,0,0,NA,NA,2020-02-10
20,0,0,0,NA,NA,2020-02-11
21,0,0,0,NA,NA,2020-02-12
22,0,0,0,NA,NA,2020-02-13
23,0,0,0,NA,NA,2020-02-14
24,0,0,0,NA,NA,2020-02-15
25,0,0,0,NA,NA,2020-02-16
26,0,0,0,NA,NA,2020-02-17
27,0,0,0,NA,NA,2020-02-18
28,0,0,0,NA,NA,2020-02-19
29,0,0,0,NA,NA,2020-02-20
30,0,0,0,NA,NA,2020-02-21
31,0,0,0,NA,NA,2020-02-22
32,0,0,0,NA,NA,2020-02-23
33,0,0,0,NA,NA,2020-02-24
34,0,0,0,NA,NA,2020-02-25
35,0,0,0,NA,NA,2020-02-26
36,0,0,0,NA,NA,2020-02-27
37,0,0,0,NA,NA,2020-02-28
38,0,0,0.0416666666666667,0,0,2020-02-29
39,0,0,0.0333333333333333,0,0,2020-03-01
40,0,0,0.113207547169811,0,0,2020-03-02
41,0,0,0.0958904109589041,0,0,2020-03-03
42,0,0,0.105769230769231,0,0,2020-03-04
43,0,0,0.0697674418604651,0,0,2020-03-05
44,0,0,0.0645161290322581,0,0,2020-03-06
45,0,0,0.0505952380952381,0,0,2020-03-07
46,0,0,0.0466666666666667,0,0,2020-03-08
47,0,3,0.0428015564202335,0,0,2020-03-09
48,0,8,0.0395480225988701,0,0,2020-03-10
49,0,13,0.0289592760180995,0,0,2020-03-11
50,0,14,0.0256904303147078,0,0,2020-03-12
51,0,17,0.0223567768979972,0,0,2020-03-13
52,0,17,0.0182009100455023,0,0,2020-03-14
53,0,18,0.0205620287868403,0,0,2020-03-15
54,0,23,0.0195031344323195,0,0,2020-03-16
55,0,23,0.0175524934383202,0,0,2020-03-17
56,0,38,0.0161163079003719,0,0,2020-03-18
57,0,44,0.0149030233884769,0,0,2020-03-19
58,0,45,0.0134165366614665,0,0,2020-03-20
59,0,69,0.0124087876068209,0,0,2020-03-21
60,0,90,0.012700395586092,0,0,2020-03-22
61,0,105,0.0126422829397888,0,0,2020-03-23
62,0,122,0.0131383057912759,0,0,2020-03-24
63,1,146,0.0143208975645353,69.828025477707,747.112427115138,2020-03-25
64,1,179,0.0144210124528842,69.343258891646,741.925754024804,2020-03-26
65,3,235,0.0155522984152592,192.897533206831,2063.87253875148,2020-03-27
66,3,298,0.0166779169890844,179.878578479763,1924.57856905808,2020-03-28
67,4,336,0.0175106114163224,228.432914471017,2444.07697333375,2020-03-29
68,6,424,0.0184046425679977,326.004701141706,3488.02879437975,2020-03-30
69,6,495,0.020582233275939,291.513555383424,3118.99697019221,2020-03-31
70,8,547,0.0222954415500417,358.817742274543,3839.10603928351,2020-04-01
71,10,614,0.0243414539972808,410.821802227472,4395.51414599244,2020-04-02
72,10,699,0.0257164836600359,388.855651192324,4160.49125508331,2020-04-03
73,11,787,0.0272207741747479,404.103128345426,4323.62890053877,2020-04-04
74,18,869,0.0285375224363253,630.748518557023,6748.58057885169,2020-04-05
