,deathSub,confirmedSub,rate,Day1,CurrentEstimate,date
1,0,1,0,NA,NA,2020-01-23
2,0,2,0,NA,NA,2020-01-24
3,0,2,0,NA,NA,2020-01-25
4,0,5,0,NA,NA,2020-01-26
5,0,5,0,NA,NA,2020-01-27
6,0,5,0,NA,NA,2020-01-28
7,0,5,0,NA,NA,2020-01-29
8,0,5,0,NA,NA,2020-01-30
9,0,7,0,NA,NA,2020-01-31
10,0,8,0,NA,NA,2020-02-01
11,0,8,0,NA,NA,2020-02-02
12,0,11,0,NA,NA,2020-02-03
13,0,11,0,NA,NA,2020-02-04
14,0,11,0,NA,NA,2020-02-05
15,0,11,0,NA,NA,2020-02-06
16,0,11,0,NA,NA,2020-02-07
17,0,11,0,NA,NA,2020-02-08
18,0,11,0,NA,NA,2020-02-09
19,0,11,0,NA,NA,2020-02-10
20,0,12,0,NA,NA,2020-02-11
21,0,12,0,NA,NA,2020-02-12
22,0,13,0,NA,NA,2020-02-13
23,0,13,0,NA,NA,2020-02-14
24,0,13,0,NA,NA,2020-02-15
25,0,13,0,NA,NA,2020-02-16
26,0,13,0,NA,NA,2020-02-17
27,0,13,0,NA,NA,2020-02-18
28,0,13,0,NA,NA,2020-02-19
29,0,13,0,NA,NA,2020-02-20
30,0,15,0,NA,NA,2020-02-21
31,0,15,0,NA,NA,2020-02-22
32,0,15,0,NA,NA,2020-02-23
33,0,15,0,NA,NA,2020-02-24
34,0,15,0,NA,NA,2020-02-25
35,0,15,0,NA,NA,2020-02-26
36,0,16,0,NA,NA,2020-02-27
37,0,16,0,NA,NA,2020-02-28
38,1,24,0.0416666666666667,24,256.783692909773,2020-02-29
39,1,30,0.0333333333333333,30,320.979616137216,2020-03-01
40,6,53,0.113207547169811,53,567.063988509081,2020-03-02
41,7,73,0.0958904109589041,73,781.050399267225,2020-03-03
42,11,104,0.105769230769231,104,1112.72933594235,2020-03-04
43,12,172,0.0697674418604651,172,1840.28313252004,2020-03-05
44,14,217,0.0645161290322581,217,2321.75255672586,2020-03-06
45,17,336,0.0505952380952381,336,3594.97170073682,2020-03-07
46,21,450,0.0466666666666667,450,4814.69424205824,2020-03-08
47,22,514,0.0428015564202335,514,5499.4507564843,2020-03-09
48,28,708,0.0395480225988701,708,7575.11894083829,2020-03-10
49,32,1105,0.0289592760180995,1105,11822.7491943875,2020-03-11
50,40,1557,0.0256904303147078,1557,16658.8420775215,2020-03-12
51,48,2147,0.0223567768979972,2147,22971.4411948867,2020-03-13
52,52,2857,0.0182009100455023,2857,30567.9587768008,2020-03-14
53,60,2918,0.0205620287868403,2918,31220.6173296132,2020-03-15
54,84,4307,0.0195031344323195,4307,46081.9735567663,2020-03-16
55,107,6096,0.0175524934383202,6096,65223.0579990823,2020-03-17
56,143,8873,0.0161163079003719,8873,94935.0711328505,2020-03-18
57,209,14024,0.0149030233884769,14024,150047.27122361,2020-03-19
58,258,19230,0.0134165366614665,19230,205747.933943955,2020-03-20
59,318,25627,0.0124087876068209,25627,274191.487424948,2020-03-21
60,427,33621,0.012700395586092,33621,359721.855804978,2020-03-22
61,552,43663,0.0126422829397888,43663,467164.432646642,2020-03-23
62,706,53736,0.0131383057912759,53736,574938.688424981,2020-03-24
63,942,65778,0.0143208975645353,65778,703779.90634246,2020-03-25
64,1209,83836,0.0144210124528842,83836,896988.236615988,2020-03-26
65,1581,101657,0.0155522984152592,101657,1087660.82792203,2020-03-27
66,2026,121478,0.0166779169890844,121478,1299732.06030389,2020-03-28
67,2467,140886,0.0175106114163224,140886,1507384.47330359,2020-03-29
68,2978,161807,0.0184046425679977,161807,1731224.95827715,2020-03-30
69,3873,188172,0.020582233275939,188172,2013312.54425907,2020-03-31
70,4757,213362,0.0222954415500417,213362,2282828.42860896,2020-04-01
71,5926,243453,0.0243414539972808,243453,2604781.68291512,2020-04-02
72,7087,275582,0.0257164836600359,275582,2948540.15247754,2020-04-03
73,8407,308845,0.0272207741747479,308845,3304431.65152995,2020-04-04
74,9619,337065,0.0285375224363253,337065,3606366.47710969,2020-04-05
